%	T	X	Y	Z	VX	VY	VZ
2458736.5	0.0	-14191298.39496243	4333878.321990013	21811823.967989445	-532.781897187233	-2764.724409250426	231.53739817718088
2458736.5	0.0006944444444444445	-14223572.139703522	4168009.408324384	21824863.700442974	-543.0036643236513	-2764.197026983101	203.11821268055638
2458736.5	0.001388888888888889	-14256458.160175368	4002179.736812996	21836197.933359064	-553.1907249598721	-2763.4164048557172	174.68783388040458
2458736.5	0.0020833333333333333	-14289954.29141654	3836404.489315979	21845826.063434705	-563.3403057952805	-2762.382967768798	146.2485300691863
2458736.5	0.002777777777777778	-14324058.202155117	3670698.820985838	21853747.623404775	-573.4496399324025	-2761.0971808500326	117.80256880050595
2458736.5	0.0034722222222222225	-14358767.395213258	3505077.8578553796	21859962.28200169	-583.5159673971357	-2759.55954933052	89.35221668690957
2458736.5	0.004166666666666667	-14394079.207957309	3339556.6944484217	21864469.84388861	-593.5365356523589	-2757.7706184186836	60.8997391974826
2458736.5	0.004861111111111111	-14429990.812764816	3174150.391370898	21867270.249597143	-603.5086001138525	-2755.7309731633195	32.44740045690929
2458736.5	0.005555555555555556	-14466499.217529891	3008873.9729356095	21868363.575437445	-613.4294246564605	-2753.4412383136096	3.9974630451108624
2458736.5	0.00625	-14503601.266193349	2843742.424781069	21867750.03340564	-623.2962821331002	-2750.902078176119	-24.447812202589375
2458736.5	0.006944444444444445	-14541293.639307352	2678770.691505164	21865429.971074186	-633.1064548708764	-2748.1141964553663	-52.886166394090026
2458736.5	0.0076388888888888895	-14579572.854620729	2513973.6743041296	21861403.871471956	-642.8572351807816	-2745.078336095934	-81.31534277840512
2458736.5	0.008333333333333333	-14618435.267703244	2349366.2286254168	21855672.35295275	-652.5459258588671	-2741.795279119093	-109.73308694300079
2458736.5	0.009027777777777779	-14657877.072593631	2184963.1618266013	21848236.16904951	-662.1698406852811	-2738.2658464496926	-138.1371470101763
2458736.5	0.009722222222222222	-14697894.30247742	2020779.2308470756	21839096.208319042	-671.7263049192989	-2734.490897734262	-166.52527383224663
2458736.5	0.010416666666666668	-14738482.830396056	1856829.1398946382	21828253.49417285	-681.2126557949614	-2730.47133115874	-194.8952211865526
2458736.5	0.011111111111111112	-14779638.369981926	1693127.5381308272	21815709.18469797	-690.6262430094339	-2726.2080832551146	-223.24474596898438
2458736.5	0.011805555555555555	-14821356.47622338	1529689.0173822679	21801464.57246443	-699.9644292131052	-2721.7021287046045	-251.57160838684933
2458736.5	0.0125	-14863632.546262123	1366528.1098581962	21785521.084321547	-709.2245904943411	-2716.9544801332704	-279.87357215095494
2458736.5	0.013194444444444444	-14906461.8202141	1203659.285874419	21767880.281183437	-718.4041168592885	-2711.966187898128	-308.1484046666044
2458736.5	0.01388888888888889	-14949839.382017445	1041096.9516021609	21748543.857802086	-727.5004127137727	-2706.738339876403	-336.39387722348636
2458736.5	0.014583333333333334	-14993760.160320353	878855.4468180388	21727513.64252931	-736.5108973353308	-2701.272061233689	-364.6077651854599
2458736.5	0.015277777777777779	-15038218.929380674	716949.0426800549	21704791.597066447	-745.4330053478552	-2695.5685142004804	-392.787848178187
2458736.5	0.015972222222222224	-15083210.310006585	555391.9395042844	21680379.816204563	-754.2641871898086	-2689.6288978353914	-420.93191027667353
2458736.5	0.016666666666666666	-15128728.77051856	394198.26456620917	21654280.527551223	-763.0019095804237	-2683.4544477812815	-449.03774019148034
2458736.5	0.017361111111111112	-15174768.62774216	233382.0699097626	21626496.091247234	-771.6436559815666	-2677.046436013654	-477.10313145400085
2458736.5	0.018055555555555557	-15221324.048024103	72957.33018031344	21597028.99967392	-780.1869270522402	-2670.4061705942877	-505.12588260077837
2458736.5	0.01875	-15268389.04828091	-87062.05953806639	21565881.877143666	-788.6292411097565	-2663.5349954045196	-533.1037973566109
2458736.5	0.019444444444444445	-15315957.497071713	-246662.28586307168	21533057.479587264	-796.9681345761783	-2656.4342898764153	-561.0346848169879
2458736.5	0.02013888888888889	-15364023.115695797	-405829.61923484504	21498558.69422398	-805.2011624268598	-2649.1054687274336	-588.9163596288117
2458736.5	0.020833333333333336	-15412579.479321055	-564550.4160310626	21462388.5392241	-813.325898633866	-2641.5499816752344	-616.7466421709923
2458736.5	0.021527777777777778	-15461620.018141396	-722811.1206523925	21424550.163358666	-821.3399366042504	-2633.7693131568813	-644.5233587328646
2458736.5	0.022222222222222223	-15511138.01854422	-880598.2676035985	21385046.845641322	-829.2408896170418	-2625.7649820339284	-672.2443416926105
2458736.5	0.02291666666666667	-15561126.624329746	-1037898.4835430011	21343881.994956363	-837.0263912514893	-2617.5385413027034	-699.9074296935357
2458736.5	0.02361111111111111	-15611578.837929562	-1194698.4893276915	21301059.149677042	-844.6940958187552	-2609.0915777847404	-727.5104678200348
2458736.5	0.024305555555555556	-15662487.521672204	-1350985.1020304784	21256581.977275584	-852.2416787792608	-2600.425711825046	-755.0513077718131
2458736.5	0.025	-15713845.399058118	-1506745.236942269	21210454.27391953	-859.6668371642445	-2591.542596977066	-782.527808037664
2458736.5	0.025694444444444447	-15765645.056071378	-1661965.9095574394	21162679.96406002	-866.9672899902944	-2582.443919680096	-809.9378340669075
2458736.5	0.02638888888888889	-15817878.942504637	-1816634.2375327274	21113263.100008525	-874.1407786652999	-2573.131398942438	-837.2792584412168
2458736.5	0.027083333333333334	-15870539.373321854	-1970737.4426370263	21062207.861504145	-881.1850673991648	-2563.606786004595	-864.5499610436311
2458736.5	0.02777777777777778	-15923618.530033305	-2124262.852672361	21009518.555269472	-888.097943596782	-2553.871864006076	-891.7478292276066
